         50883 function calls (47236 primitive calls) in 0.147 seconds

   Ordered by: cumulative time
   List reduced from 103 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:502(__init__)
      133    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:287(left_associative)
       18    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:445(factor_in)
       41    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:282(do_work)
      450    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       30    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:66(__deepcopy__)
      116    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:296(right_associative)
       20    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:269(solve)
      450    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\parse.py:17(is_operation)
       49    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:428(do_commutative)
      120    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        6    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:459(find_direction)
       60    0.000    0.000    0.000    0.000 C:\Users\Dizer\AppData\Local\Programs\Python\Python313\Lib\copy.py:232(_keep_alive)
      120    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:62(__hash__)
      200    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\problem.py:59(__len__)
      458    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\problem.py:32(root)
      560    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:148(__str__)
       10    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:215(_equals)
       45    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:28(__deepcopy__)
       18    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:489(result)
       90    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:434(<genexpr>)
       16    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:525(result)
      165    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\problem.py:83(factor_out)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      180    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      120    0.000    0.000    0.000    0.000 {method 'is_integer' of 'float' objects}
      280    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:523(__str__)
       10    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:219(__hash__)
       30    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:217(<genexpr>)
        3    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:378(factor_out)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:83(__add__)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      160    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:486(__str__)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       45    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       64    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:202(one)
       45    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD434D68A0}
       64    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:210(two)
        7    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:506(result)
       30    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:220(<genexpr>)
        9    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:359(factor_in)
        3    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:40(replace)
        6    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        6    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:468(get_max_mult)
       30    0.000    0.000    0.000    0.000 C:\Users\Dizer\AppData\Local\Programs\Python\Python313\Lib\copy.py:173(_deepcopy_atomic)
       40    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:504(__str__)
       20    0.000    0.000    0.000    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:60(_equals)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}


